key,value
"Relationship Unknown",61727
"Stranger",44599
"Acquaintance",43426
"Boyfriend/Girlfriend",37305
"Otherwise Known",29825
"Spouse",12455
"Child",9422
"Offender",7600
"Friend",7200
"Other Family Member",6832
"Parent",6599
"Sibling",6376
"Neighbor",5305
"Ex-Spouse",1902
"Homosexual Relationship",1442
"Child of Boyfriend or Girlfriend",1249
"Stepchild",1204
"In-law",1184
"Common-Law Spouse",1153
"Stepparent",979
"Grandparent",643
"Grandchild",512
"Employee",388
"Babysittee",361
"Employer",193
"Stepsibling",164
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",18
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
