key,value
"Destruction/Damage/Vandalism of Property",16850
"Weapon Law Violations",10213
"Simple Assault",9357
"Drug/Narcotic Violations",4599
"Burglary/Breaking & Entering",3711
"Kidnapping/Abduction",3650
"All Other Larceny",2013
"Drug Equipment Violations",1997
"Intimidation",1565
"Motor Vehicle Theft",974
"Robbery",922
"Shoplifting",690
"Theft From Building",626
"Stolen Property Offenses",602
"Murder and Nonnegligent Manslaughter",580
"Theft From Motor Vehicle",512
"Arson",297
"Criminal Sexual Contact",288
"False Pretenses/Swindle/Confidence Game",214
"Counterfeiting/Forgery",120
"Impersonation",114
"Rape",89
"Animal Cruelty",85
"Theft of Motor Vehicle Parts or Accessories",57
"Credit Card/Automated Teller Machine Fraud",48
"Purse-snatching",45
"Pocket-picking",42
"Identity Theft",38
"Extortion/Blackmail",36
"Pornography/Obscene Material",29
"Sodomy",25
"Bribery",23
"Statutory Rape",23
"Human Trafficking, Commercial Sex Acts",16
"Negligent Manslaughter",16
"Prostitution",14
"Assisting or Promoting Prostitution",13
"Sexual Assault With An Object",11
"Embezzlement",10
"Incest",7
"Purchasing Prostitution",4
"Operating/Promoting/Assisting Gambling",3
"Theft From Coin-Operated Machine or Device",3
"Human Trafficking, Involuntary Servitude",2
"Welfare Fraud",2
"Hacking/Computer Invasion",1
"Aggravated Assault",0
"All Other Offenses",0
"Bad Checks",0
"Betting/Wagering",0
"Curfew/Loitering/Vagrancy Violations",0
"Disorderly Conduct",0
"Driving Under the Influence",0
"Drunkenness",0
"Espionage",0
"Explosives Violation",0
"Export Violations",0
"Failure to Appear",0
"Failure to Register as a Sex Offender",0
"False Citizenship",0
"Family Offenses, Nonviolent",0
"Federal Liquor Offenses",0
"Federal Resource Violations",0
"Federal Tobacco Offenses",0
"Flight to Avoid Deportation",0
"Flight to Avoid Prosecution",0
"Gambling Equipment Violation",0
"Harboring Escapee/Concealing from Arrest",0
"Illegal Entry into the United States",0
"Import Violations",0
"Justifiable Homicide",0
"Liquor Law Violations",0
"Money Laundering",0
"Not Specified",0
"Peeping Tom",0
"Perjury",0
"Re-entry after Deportation",0
"Runaway",0
"Smuggling Aliens",0
"Sports Tampering",0
"Treason",0
"Trespass of Real Property",0
"Violation of National Firearm Act of 1934",0
"Weapons of Mass Destruction",0
"Wildlife Trafficking",0
"Wire Fraud",0
