key,value
"Personal Weapons",77456
"Handgun",72681
"Knife/Cutting Instrument",64278
"Firearm",41395
"Blunt Object",41102
"Other",30745
"Motor Vehicle/Vessel",22188
"Asphyxiation",11126
"None",8729
"Unknown",8268
"Rifle",5154
"Shotgun",3108
"Handgun (Automatic)",2895
"Other Firearm",2744
"Firearm (Automatic)",952
"Fire/Incendiary Device",933
"Drugs/Narcotics/Sleeping Pills",505
"Poison",500
"Rifle (Automatic)",283
"Explosives",259
"Other Firearm (Automatic)",77
"Shotgun (Automatic)",40
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
