key,value
"Residence/Home",380369
"Highway/Road/Alley/Street/Sidewalk",150489
"Parking/Drop Lot/Garage",42150
"Other/Unknown",19286
"Hotel/Motel/Etc.",11796
"Bar/Nightclub",10680
"Convenience Store",9664
"Restaurant",8783
"School-Elementary/Secondary",8113
"Service/Gas Station",7960
"Park/Playground",7743
"Jail/Prison/Penitentiary/Corrections Facility",7373
"Drug Store/Doctor's Office/Hospital",5622
"Commercial/Office Building",5265
"Field/Woods",3658
"Department/Discount Store",3434
"Specialty Store",3251
"Grocery/Supermarket",3052
"Government/Public Building",2550
"Air/Bus/Train Terminal",2502
"School-College/University",1349
"School/College",1198
"Shopping Mall",1105
"Camp/Campground",996
"Construction Site",953
"Liquor Store",906
"Shelter-Mission/Homeless",888
"Church/Synagogue/Temple/Mosque",838
"Rental Storage Facility",654
"Gambling Facility/Casino/Race Track",614
"Lake/Waterway/Beach",591
"Tribal Lands",556
"Community Center",510
"Arena/Stadium/Fairgrounds/Coliseum",499
"Industrial Site",483
"Daycare Facility",426
"Auto Dealership New/Used",361
"Bank/Savings and Loan",319
"Amusement Park",283
"Abandoned/Condemned Structure",260
"Dock/Wharf/Freight/Modal Terminal",218
"Farm Facility",173
"Rest Area",168
"ATM Separate from Bank",48
"Military Installation",34
"Cyberspace",0
"Not Specified",0
